Date,^GSPC,log_ret,ewma200,ewma50,ewma20,ewma10,mom200,mom50,mom20,mom10,momrev200,momrev50,momrev20,momrev10,vola200,vola50,vola20,vola10
2017-05-31 00:00:00-04:00,2411.800048828125,-0.0004600746199513276,2280.813880859221,2377.3675217533423,2395.5004232832325,2403.3655105147714,1.1042787458658292,1.0161493840655775,1.0086276289963316,1.0046362587591517,0.905568457007594,0.984107273675683,0.9914461702730502,0.9953851369401319,0.07507767999034667,0.03382385673134228,0.022949352485592687,0.02238295609931089
2017-06-01 00:00:00-04:00,2430.06005859375,0.0075425955848472245,2282.2989174535946,2379.4338957470836,2398.791817122329,2408.219064710949,1.1095405186618799,1.0367061878079462,1.017557745113875,1.0309839197588249,0.9012739806978954,0.9645934516069984,0.9827452100893693,0.9699472327695733,0.07537350017987689,0.031964839831508905,0.023933109344268125,0.009443583057091249
2017-06-02 00:00:00-04:00,2439.070068359375,0.00370087461804602,2283.858829402906,2381.7725691828596,2402.627841049667,2413.8283381015717,1.1197898114059404,1.0385872039309505,1.0207364024670718,1.0310054015541195,0.8930247353692748,0.9628464477658671,0.9796848604429579,0.9699270231684699,0.07519682039615103,0.03208356230869177,0.024096228902694906,0.009445147127575826
2017-06-05 00:00:00-04:00,2436.10009765625,-0.0012184071404286387,2285.373667892989,2383.903060495542,2405.815675012199,2417.877748929695,1.1163403004103767,1.0384235614501827,1.01534206285795,1.0228279937832412,0.8957841973745739,0.9629981802449443,0.9848897594030867,0.9776814929567923,0.07520645943442168,0.032093059289976744,0.02397155188992419,0.009343561981092773
2017-06-06 00:00:00-04:00,2429.330078125,-0.0027829086662040834,2286.80606998485,2385.6845121672854,2408.055141975323,2419.9599906015683,1.1107946230166128,1.0364124686931762,1.0124824732953055,1.0147492745698359,0.900256428397425,0.9648668172247203,0.987671417901508,0.9854651045933606,0.0752617226277435,0.03224974750580432,0.02422576143992129,0.009963003338396307
2017-06-07 00:00:00-04:00,2433.139892578125,0.0015670287963475379,2288.262127921102,2387.5455074775145,2410.4441658422566,2422.3563364154875,1.1141413005420155,1.0390972805876415,1.0151110474624416,1.014476185086047,0.8975522220687024,0.9623738014543443,0.985113897144341,0.9857303845089087,0.07524283757458347,0.032211438045272316,0.024179024161620162,0.009955468885664977
2017-06-08 00:00:00-04:00,2433.7900390625,0.00026716903566476714,2289.710166837932,2389.3590185200633,2412.6675823394226,2424.435191442217,1.1150671475117764,1.0318921925247055,1.0142355937866394,1.0122276950901878,0.8968069790518501,0.9690934840327887,0.9859642139618755,0.9879200152796664,0.0752351743372936,0.03153225786558779,0.02418014215527022,0.00994300360502232
2017-06-09 00:00:00-04:00,2431.77001953125,-0.0008303338661872762,2291.1236977105023,2391.022195030306,2414.4868620719776,2425.7687965493137,1.1119713421382786,1.0299179376928667,1.0155903171674776,1.0069148930255343,0.899303751908784,0.9709511441660232,0.9846490096410533,0.9931325943498991,0.07523435192178941,0.03156208581367087,0.024049751154819103,0.009430739467605403
2017-06-12 00:00:00-04:00,2429.389892578125,-0.0009792424797181137,2292.4994807440107,2392.526810620417,2415.9061983106585,2426.427177645461,1.1167349860312468,1.0258987662757149,1.0160985368716793,1.005617067428356,0.8954676019902358,0.9747550468651657,0.9841565199756682,0.9944143077814697,0.07502516878635786,0.03150827631771319,0.024005578859223775,0.00957535451405325
2017-06-13 00:00:00-04:00,2440.35009765625,0.00450135884323014,2293.970631161048,2394.4022336414305,2418.2341887245243,2428.9586176474227,1.1233067110549864,1.0328562537734944,1.0158305422319711,1.0113722378979688,0.8902288129844971,0.9681889385348101,0.9844161584301369,0.9887556356879986,0.07510379743189392,0.031626891695416826,0.023961105931961896,0.010092809550538095
2017-06-14 00:00:00-04:00,2437.919921875,-0.0009963269653176028,2295.402962411933,2396.1088096505905,2420.109020453141,2430.5879456888,1.1239626184718632,1.033524881313634,1.0155165021482448,1.0108300325557944,0.8897093048873792,0.9675625793633308,0.9847205809896532,0.9892860004085835,0.07508918045742857,0.03158567086505195,0.02398309141314337,0.010200400919126952
2017-06-15 00:00:00-04:00,2432.4599609375,-0.002242109796840374,2296.766713641043,2397.534344995175,2421.2853004992703,2430.9283120976547,1.1156129168646698,1.0306335382010228,1.0320021088840885,1.0009875897244855,0.8963682518219764,0.9702769829764187,0.9689902679378314,0.9990133846466994,0.0749972571472117,0.031718691437165214,0.013655123519353544,0.007694544700718856
2017-06-16 00:00:00-04:00,2433.14990234375,0.00028359915005969524,2298.1237602948017,2398.9310335186487,2422.415262579697,2431.3322375969447,1.1181137856895718,1.0340848521371786,1.0285029219331414,0.9975727773906852,0.8943633580040983,0.967038631243138,0.9722869801093338,1.0024331283534658,0.07495557742734654,0.03150016228451663,0.013525774935413822,0.00659766245320456
2017-06-19 00:00:00-04:00,2453.4599609375,0.008312583206893995,2299.6693941320427,2401.0694228291923,2425.371900518535,2435.3554600225,1.1301319773001337,1.0407085379368182,1.030116755911446,1.00712608783931,0.8848524066976523,0.9608838243822599,0.9707637452370158,0.9929243339782824,0.07529626690673266,0.032394613535141864,0.014248839346799881,0.010663498072337081
2017-06-20 00:00:00-04:00,2437.030029296875,-0.0067191604469316645,2301.0361666212452,2402.4796426906705,2426.4821984974246,2435.6599271632954,1.1226103519821482,1.034595035059055,1.0179656015466598,1.0031695780006222,0.8907810249872897,0.9665617619583102,0.9823514650010143,0.9968404364823947,0.07564976048005276,0.03322149666210267,0.015884576625944273,0.01263955087102652
2017-06-21 00:00:00-04:00,2435.610107421875,-0.0005828141932715965,2302.3752108083163,2403.7788766016984,2427.3515231568963,2435.650869028492,1.1172626029795734,1.0332816602341997,1.015506119344523,1.0010152374926262,0.8950447256832446,0.9677903310248862,0.9847306490338713,0.9989857921691889,0.07557116035276723,0.033245490235331014,0.01591710782468266,0.012585926709698231
2017-06-22 00:00:00-04:00,2434.5,-0.0004558859724380852,2303.6898853276366,2404.9836265388867,2428.032330475287,2435.4416201142203,1.1134334737782863,1.034293761395893,1.0125229720499238,1.000291710018574,0.8981228098043746,0.9668433063449887,0.9876319131559355,0.9997083750513452,0.07553851499213014,0.033197076166568,0.015854871354273912,0.012596115271286155
2017-06-23 00:00:00-04:00,2438.300048828125,0.0015596985554090976,2305.029289939582,2406.2901529031706,2429.0102084136524,2435.961334425839,1.115334717886884,1.039817870857307,1.0096187604546525,1.0026852988746582,0.8965918337901312,0.9617068796629953,0.9904728786434981,0.9973218926440109,0.07554226353923509,0.032895863849068965,0.015381444091751238,0.012641574653371967
